ProductId,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,new_ver
146,Round,0.8*0.8,40,Round,0.9*0.9,10,Round,1.2*1.2,4,Round,1.4*1.4,6,Round,2.0*2.0,2,Round,1.7*1.7,2,Round,1.0*1.0,2,,,,,,,,,, -   
147,Round,1.5*1.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
148,Round,1.3*1.3,22,Round,1.5*1.5,4,Round,1.1*1.1,6,Round,1.7*1.7,4,Round,1.2*1.2,2,Round,1.0*1.0,4,Round,0.8*0.8,6,Round,0.9*0.9,4,,,,,,, -   
149,Round,0.9*0.9,8,Round,1.0*1.0,12,Round,1.1*1.1,8,Round,1.2*1.2,24,Round,1.3*1.3,4,,,,,,,,,,,,,,,, -   
150,Round,3.5*3.5,2,Round,1.0*1.0,94,Round,1.1*1.1,40,,,,,,,,,,,,,,,,,,,,,, -   
151,Round,1.1*1.1,60,Round,2.0*2.0,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
152,Round,1.0*1.0,24,Round,1.1*1.1,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
153,Round,1.0*1.0,212,Round,1.2*1.2,14,Round,1.3*1.3,28,Round,0.8*0.8,12,Round,1.1*1.1,20,Round,0.9*0.9,2,Round,3.0*3.0,2,,,,,,,,,, -   
154,Marquise,3.0*1.5,8,Round,1.5*1.5,16,Round,2.0*2.0,8,,,,,,,,,,,,,,,,,,,,,, -   
155,Round,1.0*1.0,32,Round,0.8*0.8,32,,,,,,,,,,,,,,,,,,,,,,,,, -   
156,Round,1.5*1.5,12,Round,1.8*1.8,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
157,Round,1.1*1.1,36,Round,1.1*1.1,20,Round,1.2*1.2,6,Round,0.9*0.9,8,Round,1.3*1.3,8,Round,1.4*1.4,4,Round,1.5*1.5,2,,,,,,,,,, -   
158,Round,2.0*2.0,12,Round,1.7*1.7,14,,,,,,,,,,,,,,,,,,,,,,,,, -   
159,Round,0.9*0.9,16,Round,1.0*1.0,16,Round,1.4*1.4,8,,,,,,,,,,,,,,,,,,,,,, -   
160,Round,1.8*1.8,20,Pear,3.0*2.0,4,Marquise,3.0*1.5,6,,,,,,,,,,,,,,,,,,,,,, -   
161,Round,0.9*0.9,84,Round,0.8*0.8,24,Round,0.8*0.8,96,,,,,,,,,,,,,,,,,,,,,, -   
162,Round,1.0*1.0,60,Pear,3.0*2.0,2,Pear,2.5*1.5,4,Marquise,2.5*1.25,4,Round,1.7*1.7,2,,,,,,,,,,,,,,,, -   
163,Round,0.9*0.9,58,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
164,Round,1.2*1.2,4,Round,1.3*1.3,22,Round,1.1*1.1,2,Round,1.1*1.1,44,Round,1.4*1.4,4,Round,1.0*1.0,30,,,,,,,,,,,,, -   
165,Round,1.0*1.0,28,Round,0.9*0.9,22,Marquise,3.0*1.5,22,,,,,,,,,,,,,,,,,,,,,, -   
166,Round,1.1*1.1,40,Round,0.8*0.8,16,Round,0.9*0.9,16,Round,1.0*1.0,32,,,,,,,,,,,,,,,,,,, -   
167,Round,1.2*1.2,44,Round,1.0*1.0,38,Round,2.0*2.0,2,Round,0.8*0.8,8,Round,1.1*1.1,12,,,,,,,,,,,,,,,, -   
168,Round,0.9*0.9,24,Round,0.8*0.8,20,Round,1.0*1.0,8,,,,,,,,,,,,,,,,,,,,,, -   
169,Round,0.9*0.9,12,Round,0.8*0.8,6,Round,1.3*1.3,16,,,,,,,,,,,,,,,,,,,,,, -   
170,Round,1.1*1.1,20,Round,1.0*1.0,20,Round,0.8*0.8,30,,,,,,,,,,,,,,,,,,,,,, -   
171,Round,3.0*3.0,2,Round,1.1*1.1,2, , , ,,,,,,,,,,,,,,,,,,,,,, -   
172,Round,3.0*3.0,2,Round,1.2*1.2,2,Round,0.9*0.9,4,,,,,,,,,,,,,,,,,,,,,, -   
173,Round,3.0*3.0,2, , , , , , ,,,,,,,,,,,,,,,,,,,,,, -   
174, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,, -   
175,Round,3.0*3.0,2,Round,1.2*1.2,2,Round,0.8*0.8,2,,,,,,,,,,,,,,,,,,,,,, -   
176,Round,1.8*1.8,48,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
177,Round,1.8*1.8,48,Round,1.5*1.5,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
178,Round,1.5*1.5,8,Round,2.2*2.2,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
179,Round,1.0*1.0,12,Round,0.8*0.8,2,Round,0.9*0.9,2,,,,,,,,,,,,,,,,,,,,,, - 
180,Round,0.9*0.9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
182,Round,1.4*1.4,6,Round,1.2*1.2,24,Round,1.0*1.0,8,Round,1.3*1.3,18,Round,1.1*1.1,10,,,,,,,,,,,,,,,, - 
183,Round,1.5*1.5,8,Round,1.4*1.4,2,Round,1.3*1.3,2,Round,1.1*1.1,2,Round,0.9*0.9,2,Round,3.5*3.5,2,,,,,,,,,,,,, - 
184,Round,3.5*3.5,2,Round,1.7*1.7,2,,,,,,,,,,,,,,,,,,,,,,,,, - 
185,Round,1.3*1.3,16,Round,1.1*1.1,2,Round,1.2*1.2,20,Round,3.0*3.0,2,,,,,,,,,,,,,,,,,,, - 
186,Round,1.7*1.7,2,Round,1.1*1.1,36,,,,,,,,,,,,,,,,,,,,,,,,, - 
187,Round,1.4*1.4,4,Round,1.3*1.3,6,Round,1.2*1.2,2,Round,1.5*1.5,8,Round,1.6*1.6,2,Round,1.1*1.1,4,Round,1.0*1.0,4,,,,,,,,,, - 
188,Round,1.6*1.6,2,Round,1.8*1.8,2,Round,2.0*2.0,4,Round,1.0*1.0,18,Round,1.1*1.1,8,Round,1.3*1.3,2,Round,1.5*1.5,2,Round,1.7*1.7,2,,,,,,, - 
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
205,Round,0.8*0.8,2,Round,0.9*0.9,3,,,,,,,,,,,,,,,,,,,,,,,,, -   
206,Round,2.2*2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
207,Round,1.1*1.1,4,Round,1.2*1.2,1,Round,0.8*0.8,3,Round,0.9*0.9,4,,,,,,,,,,,,,,,,,,, -   
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
211,Round,0.8*0.8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
212,Round,0.9*0.9,3,Round,0.8*0.8,2,,,,,,,,,,,,,,,,,,,,,,,,, -   
213,Round,1.5*1.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
214,Round,1.8*1.8,1,Round,1.5*1.5,2,,,,,,,,,,,,,,,,,,,,,,,,, -   
215,Round,1.7*1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
