ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,diamond_gold_10k,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
846," 36,660,000 "," 32,990,000 "," 40,920,000 ", -   ," 15,640,000 "," 11,970,000 "," 19,720,000 ", -   
847," 44,960,000 "," 40,960,000 "," 49,370,000 ", -   ," 23,750,000 "," 19,750,000 "," 28,050,000 ", -   
848," 26,340,000 "," 22,500,000 "," 29,930,000 ", -   ," 16,320,000 "," 12,480,000 "," 19,910,000 ", -   
849," 45,490,000 "," 41,410,000 "," 49,240,000 ", -   ," 16,800,000 "," 12,720,000 "," 20,550,000 ", -   
850," 11,070,000 "," 8,500,000 "," 14,860,000 ", -   ," 11,070,000 "," 8,500,000 "," 14,860,000 ", -   
851," 13,720,000 "," 10,710,000 "," 17,870,000 ", -   ," 13,720,000 "," 10,710,000 "," 17,870,000 ", -   
852," 14,250,000 "," 11,210,000 "," 18,550,000 ", -   ," 14,250,000 "," 11,210,000 "," 18,550,000 ", -   
853," 17,010,000 "," 14,400,000 "," 21,280,000 ", -   ," 14,730,000 "," 12,120,000 "," 18,820,000 ", -   
854," 27,210,000 "," 22,300,000 "," 30,850,000 ", -   ," 22,570,000 "," 17,660,000 "," 26,040,000 ", -   
855," 25,880,000 "," 22,140,000 "," 29,460,000 ", -   ," 19,510,000 "," 15,770,000 "," 22,980,000 ", -   
856," 13,080,000 "," 10,350,000 "," 17,030,000 ", -   ," 13,080,000 "," 10,350,000 "," 17,030,000 ", -   
857," 16,830,000 "," 14,290,000 "," 21,040,000 ", -   ," 12,810,000 "," 10,270,000 "," 16,850,000 ", -   
858," 7,970,000 "," 6,190,000 "," 10,860,000 ", -   ," 7,970,000 "," 6,190,000 "," 10,860,000 ", -   
859," 11,830,000 "," 8,940,000 "," 15,900,000 ", -   ," 11,830,000 "," 8,940,000 "," 15,900,000 ", -   
860," 8,900,000 "," 7,100,000 "," 11,860,000 ", -   ," 8,400,000 "," 6,600,000 "," 11,360,000 ", -   
861," 10,500,000 "," 8,000,000 "," 14,140,000 ", -   ," 10,500,000 "," 8,000,000 "," 14,140,000 ", -   
862," 10,800,000 "," 8,210,000 "," 14,550,000 ", -   ," 10,800,000 "," 8,210,000 "," 14,550,000 ", -   
863," 11,110,000 "," 8,590,000 "," 14,040,000 ", -   ," 11,110,000 "," 8,590,000 "," 14,040,000 ", -   
864," 8,260,000 "," 6,390,000 "," 11,680,000 ", -   ," 8,260,000 "," 6,390,000 "," 11,680,000 ", -   
865," 8,040,000 "," 6,300,000 "," 11,070,000 ", -   ," 8,040,000 "," 6,300,000 "," 11,070,000 ", -   
866," 9,120,000 "," 7,400,000 "," 11,910,000 ", -   ," 9,120,000 "," 7,400,000 "," 11,910,000 ", -   
867," 8,150,000 "," 6,300,000 "," 11,070,000 ", -   ," 8,150,000 "," 6,300,000 "," 11,070,000 ", -   
868," 9,080,000 "," 7,380,000 "," 11,840,000 ", -   ," 9,080,000 "," 7,380,000 "," 11,840,000 ", -   
869," 10,310,000 "," 8,280,000 "," 13,510,000 ", -   ," 10,310,000 "," 8,280,000 "," 13,510,000 ", -   
870," 11,070,000 "," 8,530,000 "," 14,860,000 ", -   ," 11,070,000 "," 8,530,000 "," 14,860,000 ", -   
871," 24,290,000 "," 21,220,000 "," 28,930,000 ", -   ," 14,200,000 "," 11,130,000 "," 18,660,000 ", -   
872," 11,030,000 "," 7,790,000 "," 15,070,000 ", -   ," 11,030,000 "," 7,790,000 "," 15,070,000 ", -   
873," 25,970,000 "," 22,020,000 "," 29,610,000 ", -   ," 15,890,000 "," 11,930,000 "," 19,350,000 ", -   
874," 35,820,000 "," 32,470,000 "," 39,950,000 ", -   ," 18,130,000 "," 15,110,000 "," 22,090,000 ", -   
875," 35,490,000 "," 31,760,000 "," 39,750,000 ", -   ," 23,160,000 "," 19,430,000 "," 27,310,000 ", -   
876," 30,240,000 "," 26,690,000 "," 33,960,000 ", -   ," 16,620,000 "," 13,080,000 "," 20,160,000 ", -   
877," 29,400,000 "," 26,250,000 "," 34,150,000 ", -   ," 18,410,000 "," 15,260,000 "," 23,050,000 ", -   
878," 13,000,000 "," 9,770,000 "," 17,390,000 ", -   ," 13,000,000 "," 9,770,000 "," 17,390,000 ", -   
879," 40,090,000 "," 35,770,000 "," 45,010,000 ", -   ," 20,880,000 "," 16,980,000 "," 25,580,000 ", -   
880," 27,510,000 "," 24,720,000 "," 32,000,000 ", -   ," 17,530,000 "," 14,730,000 "," 21,900,000 ", -   
881," 11,110,000 "," 8,530,000 "," 14,900,000 ", -   ," 11,110,000 "," 8,530,000 "," 14,900,000 ", -   
882," 27,680,000 "," 25,790,000 "," 31,150,000 ", -   ," 14,330,000 "," 12,430,000 "," 17,680,000 ", -   
883," 34,370,000 "," 30,570,000 "," 38,250,000 ", -   ," 17,610,000 "," 13,810,000 "," 21,310,000 ", -   
884," 20,560,000 "," 15,410,000 "," 24,070,000 ", -   ," 16,050,000 "," 10,900,000 "," 19,550,000 ", -   
885," 13,960,000 "," 10,070,000 "," 17,190,000 ", -   ," 13,960,000 "," 10,070,000 "," 17,190,000 ", -   
886," 19,390,000 "," 14,730,000 "," 23,540,000 ", -   ," 19,140,000 "," 14,480,000 "," 23,290,000 ", -   
887," 11,090,000 "," 8,790,000 "," 14,180,000 ", -   ," 10,590,000 "," 8,290,000 "," 13,680,000 ", -   
888," 15,160,000 "," 11,450,000 ", -   , -   ," 15,160,000 "," 11,450,000 ", -   , -   
