id,design_code,name,category,diameter,ring_size,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,plain_or_pattern,diamond_weight,cz_weight
190,MDA0015,LIZZIE LADIES MIDI COLLECTION,MDA,,,,,0.11,0.11,,Plain,0.05,
191,MDA0016,LIZZIE LADIES MIDI COLLECTION,MDA,,,,,0.13,0.12,,Plain,0.05,
192,MDA0017,HÀNG THẦN TÀI 2024,,,,,,0.96,0.9,1.3,Pattern,0.01,
193,MDA0020,HÀNG THẦN TÀI 2024,,,,,,1.11,1.02,1.46,Pattern,0.001,
,MDA0024,,MDA,,,,,,,,,,
,MDA0025,,MDA,,,,,,,,,,
194,MDA0101,Charm,Others,,,,,1.04,0.96,,Pattern,0.03,
195,MDA0102,Charm,Others,,,,,1.8,1.65,,Pattern,0.02,
196,MDA0103,Charm,Others,,,,,1.27,1.19,,Plain,,
197,MDA0104,Charm,Others,,,,,3.1,2.89,,Plain,0.03,
,MDA0108,,MDA,,,,,,,,,,
,MDA0109,,MDA,,,,,,,,,,
,MDA0110,,MDA,,,,,,,,,,
198,MDA1101,,MDA,,,Round,4.1,0.27,0.25,,Plain,0,
199,MDA1102,,MDA,,,Round,4.5,0.93,0.86,,Plain,0.02,
200,MDA1104,,MDA,,,Emerald,8.3*6.1,1.65,1.54,,Plain,0,
201,MDA1105,,MDA,,,Heart,"5,49*6,66",0.86,0.79,1.14,Plain,,
202,MDA1106,,MDA,,,Oval,12.0*7.5,1.37,1.28,,Plain,0,
203,MDA1107,,MDA,,,Cushion,6.3*5.1,1.18,1.09,,Plain,0,
204,MDA1108,,MDA,,,Princess,5.5,1.31,1.22,,Plain,0,
205,MDA1109,,MDA,,,Princess,4.1,0.97,0.79,,Plain,0,
206,MDA1110,,MDA,,,Round,4.1,0.58,0.54,,Plain,0,
207,MDA1111,,MDA,,,Round,4.5,0.6,0.55,0.79,Plain,,
208,MDA1112,,MDA,,,Round,4.5,0.72,0.67,,Plain,0.01,
209,MDA1113,,MDA,,,Round,4.5,0.36,0.34,,Plain,,
210,MDA2102,,MDA,,,Round,4.5,1.04,0.95,,Plain,0.19,
211,MDA2103,,MDA,,,Round,4.5,1.16,1.06,,Plain,0.16,
212,MDA2104,,MDA,,,Round,5.4,1.7,1.59,,Plain,0.38,
213,MDA2105,,MDA,,,Round,5.4,1.68,1.57,,Plain,0.13,
214,MDA2106,,MDA,,,Round,5.4,1.42,1.33,,Plain,0.25,
215,MDA2107,,MDA,,,Round,5.4,1.74,1.62,,Plain,0.17,
216,MDA2108,,MDA,,,Round,5,1.63,1.52,,Plain,0.17,
217,MDA2109,,MDA,,,Round,5,2.29,2.13,,Plain,0.31,
218,MDA2110,,MDA,,,Round,5.4,1.83,1.71,,Plain,0.25,
219,MDA2111,,MDA,,,Round,5.4,1.49,1.39,,Plain,0.14,
220,MDA2112,,MDA,,,Round,4.5,1.27,1.19,,Plain,0.23,
221,MDA2114,,MDA,,,Round,5.4,1.41,1.18,,Plain,0.28,
222,MDA2117,,MDA,,,Round,5.4,2.63,2.46,,Plain,0.42,
223,MDA2118,,MDA,,,Round,5,3.94,3.68,,Plain,0.32,
224,MDA2120,,MDA,,,Emerald,6.0*5.0,3.06,2.81,,Pattern,0.26,
225,MDA2121,,MDA,,,Round,7.2,4.31,3.96,,Plain,0.43,
226,MDA2122,,MDA,,,Cushion,5.4,2.02,1.88,,Plain,0.47,
227,MDA2123,,MDA,,,Cushion,5,3.48,3.25,,Plain,1.11,
228,MDA2124,,MDA,,,Cushion,5.4,2.02,1.88,,Plain,0.51,
229,MDA2125,,MDA,,,Round,5.4,1.38,1.28,,Plain,0.159,
230,MDA2126,,MDA,,,,,3.48,3.24,,Plain,0.57,
231,MDA2127,,MDA,,,,,5.14,4.8,,Plain,0.36,
232,MDA2131,,MDA,,,Round,3.6,1.17,1.09,,Plain,0.17,
233,MDA2132,,MDA,,,Round,4.1,1.39,1.28,,Plain,0.11,
234,MDA2133,,MDA,,,Round,5.4,2.23,2.08,,Pattern,0.21,
235,MDA2134,,MDA,,,Round,5.4,1.39,1.3,,Plain,0.18,
236,MDA2135,,MDA,,,Round,4.1,0.54,0.51,,Plain,0.055,
237,MDA2136,,MDA,,,Round,4,1.83,1.7,,Pattern,0.29,
238,MDA2137,,MDA,,,Round,5,2.36,2.2,,Pattern,0.32,
239,MDA3102,,MDA,,,Round,5.5,1.84,1.71,,Plain,0.08,
240,MDA3103,,MDA,,,Round,4.5,2.56,2.39,,Plain,0.21,
241,MDA3105,,MDA,,,Round,4.5,0.7,0.65,,Plain,0.06,
242,MDA4101,,MDA,,,Round,5.4,1.13,1.06,,Plain,0,
243,MDA4102,,MDA,,,Round,3.6,2.66,2.44,,Plain,0.17,
244,MDA4103,,MDA,,,Round,4.5,1.3,1.2,,Plain,0.07,
245,MDA4104,,MDA,,,Round,4.5,0.58,0.53,0.77,Plain,,
246,MDA5101,,MDA,,,Round,3.6,0.75,0.69,,Plain,0,0
247,MDA8110,,MDA,,,Round,4.5,0.99,0.91,,Plain,0.34,
248,MDA8111,,MDA,,,Round,5.3,2.82,2.63,,Plain,0.21,
249,MDA8115,,MDA,,,Pear,8.0*6.0,3.44,2.87,,Pattern,0.6,
250,MDA8116,,MDA,,,Oval,8.0*6.0,2.17,1.81,,Plain,0.78,
251,MDA8117,,MDA,,,Round,6.3,3.55,2.96,,Plain,0.41,
252,MDA8118,,MDA,,,Pear,9*7,2.25,2.07,2.98,Plain,0.2,
253,MDA8119,,MDA,,,Emerald,7.0*5.0,2.72,2.53,,Plain,0.34,
254,MDA8120,,MDA,,,Emerald,7.5*5.5,2.83,2.64,,Plain,0.67,
255,MDA8121,,MDA,,,Cushion,6.5,2.57,2.15,,Plain,0.37,
256,MDA8122,,MDA,,,Round,6.3,3.35,2.8,,Plain,0.88,
257,MDA8123,,MDA,,,Round,4.5,2.65,2.21,,Plain,0.61,
258,MDA8124,,MDA,,,,,5.67,5.29,,Plain,0.24,
259,MDA8125,,MDA,,,Pear,8.0*4.9,2.75,2.7,,Plain,0.37,
260,MDA8126,,MDA,,,Round,4.1,0.88,0.86,,Plain,0.16,
261,MDA8127,,MDA,,,Round,4.5,0.62,0.58,,Plain,0.03,
262,MDA8128,,MDA,,,,,1.6,1.49,,Plain,1.13,
263,MDA8129,,MDA,,,Round,4.5,0.74,0.69,,Plain,0.09,
264,MDA8130,,MDA,,,Round,5.4,1.35,1.26,,Pattern,0.12,
265,MDA8136,,MDA,,,,,2.12,1.77,,Plain,0.015,
266,MDA8137,,MDA,,,,,2.36,2.17,3.11,Plain,0.18,
267,MDA8144,,MDA,,,Heart,5.4,3.94,3.68,,Plain,0.46,
268,MDA8145,LOVE DREAM,MDA,,,,,0.96,0.9,,Plain,0.32,
,MDA8147,,MDA,,,,,,,,,,
,MDA8148,,MDA,,,,,,,,,,
,MDA8149,,MDA,,,,,,,,,,
,MDA8150,,MDA,,,,,,,,,,
,MDA8151,,MDA,,,,,,,,,,
269,NCF0001,,NCM/NCF,,8.5,,,4.63,4.25,6.12,Plain,0.34,
270,NCF0002,,NCM/NCF,,8,,,2.49,2.29,3.29,Pattern,0.29,
271,NCF0003,,NCM/NCF,,8,,,2.83,2.6,3.74,Plain,0.37,
272,NCF0004,,NCM/NCF,,10,,,2.31,2.12,3.05,Pattern,0.19,
273,NCF0005,,NCM/NCF,,11,,,2.41,2.21,3.1,Plain,0.33,
274,NCF0006,,NCM/NCF,,9,,,1.76,1.62,2.33,Plain,0.78,
275,NCF0007,Nhẫn cưới Eternity,NCM/NCF,,15,,,2.19,1.83,,Plain,0.9,
276,NCF0008,,NCM/NCF,,9,,,4.06,3.73,5.36,Pattern,0.28,
277,NCF0009,,NCM/NCF,,9,,,2.24,2.06,2.96,Pattern,0.1,
278,NCF0010,,NCM/NCF,,9,,,2.18,2,2.88,Plain,0.41,
279,NCF0011,Nhẫn cưới Eternity,NCM/NCF,,10,,,2.04,1.7,,Plain,0.39,
280,NCF0012,,NCM/NCF,,5,,,2.81,2.63,,Plain,0.06,
281,NCF0013,,NCM/NCF,,11,,,2.57,2.15,,Pattern,0.72,
282,"NCF0013
",,NCM/NCF,,11,,,2.44,2.24,3.23,Pattern,0.72,
283,NCF0016,,NCM/NCF,,10,,,3.66,3.06,,Plain,0.045,
284,NCF0017,,NCM/NCF,,11,,,2.33,2.14,3.07,Pattern,0.18,
285,NCF0018,,NCM/NCF,,11,,,2.66,2.48,,Pattern,0.1,
286,NCF0022,,NCM/NCF,,11,,,3.11,2.9,,Pattern,0.15,
287,NCF0024,,NCM/NCF,,11,,,2.72,2.28,,Plain,0.19,
288,NCF0027,,NCM/NCF,,10,,,5.56,5.18,,Pattern,0.08,
289,NCF0029,,NCM/NCF,,8.8,,,2.1,1.93,2.77,Plain,0.72,
290,NCF0036,,NCM/NCF,,12,,,3.06,3,,Plain,0.046,
291,NCF0040,,NCM/NCF,,12,,,6.89,6.43,,Pattern,0.73,
292,NCF0041,,NCM/NCF,,10,,,2.97,2.48,,Pattern,0.023,
293,"NCF0041
",,NCM/NCF,,11,,,2.97,2.91,4.19,Pattern,0.02,
294,NCF0042,,NCM/NCF,,12,,,2.74,2.56,,Pattern,0.14,
295,NCF0043,,NCM/NCF,,12,,,5.03,4.69,,Pattern,0.11,
296,NCF0044,,NCM/NCF,,11,,,4.4,4.1,,Pattern,0.03,
297,NCF0045,,NCM/NCF,,11,,,4.58,4.27,,Pattern,0.01,
298,NCF0046,,NCM/NCF,,11,,,4.51,4.21,,Pattern,0.02,
299,NCF0101,,NTT,,10,,,2.05,1.71,,Plain,0.35,
