ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height
368.0,NCC1044,,Nhẫn cưới,,M.19-F.11,,,
369.0,NCC1046,,Nhẫn cưới,,M.19-F.11,,,
370.0,NCC1047,,Nhẫn cưới,,M.19-F.10,,,
371.0,NCC1048,,Nhẫn cưới,,M.19-F.10,,,
372.0,NCC2001,,Nhẫn cưới,,M.16-F.08,,,
373.0,NCC2002,,Nhẫn cưới,,M.12-F.09,,,
374.0,NCC2003,,Nhẫn cưới,,M.18-F.11,,,
375.0,NCC2004,,Nhẫn cưới,,M.24-F.12,,,
376.0,NCC2005,,Nhẫn cưới,,M.18-F.12,,,
377.0,NCC2006,,Nhẫn cưới,,M.20-F.10,,,
378.0,NCC2007,,Nhẫn cưới,,M.18-F.11,,,
379.0,NCC2008,,Nhẫn cưới,,M.16-F.10,,,
380.0,NCC2009,,Nhẫn cưới,,M.16-F.9.5,,,
381.0,NCC2010,,Nhẫn cưới,,M.18-F.11,,,
382.0,NCC2011,,Nhẫn cưới,,M.15-F.09,,,
383.0,NCC2012,,Nhẫn cưới,,M.17-F.11,,,
384.0,NCC2013,,Nhẫn cưới,,M.18-F.10,,,
385.0,NCC2014,,Nhẫn cưới,,M.18-F.08,,,
386.0,NCC2015,,Nhẫn cưới,,M.15-F.9.5,,,
387.0,NCC2016,,Nhẫn cưới,,M.20-F.10,,,
388.0,NCC2017,,Nhẫn cưới,,M.20-F.10,,,
389.0,NCC2018,,Nhẫn cưới,,M.16-F.08,,,
390.0,NCC2019,,Nhẫn cưới,,M.20-F.10,,,
391.0,NCC2020,,Nhẫn cưới,,M.20-F.10,,,
392.0,NCC2021,,Nhẫn cưới,,M.20-F.10,,,
393.0,NCC2022,,Nhẫn cưới,,M.20-F.10,,,
394.0,NCC2023,,Nhẫn cưới,,M.20-F.10,,,
395.0,NCC2024,,Nhẫn cưới,,M.20-F.10,,,
396.0,NCC2025,,Nhẫn cưới,,M.14-F.06,,,
397.0,NCC2026,,Nhẫn cưới,,M.21-F.10,,,
398.0,NCC2027,,Nhẫn cưới,,M.18-F.9.5,,,
399.0,NCC2028,,Nhẫn cưới,,M.15-F.10,,,
400.0,NCC2029,,Nhẫn cưới,,M.16-F.08,,,
401.0,NCC2030,,Nhẫn cưới,,M.16-F.10,,,
402.0,NCC2031,,Nhẫn cưới,,M.17-F.11,,,
403.0,NCC2032,,Nhẫn cưới,,M.18-F.10,,,
404.0,NCC2033,,Nhẫn cưới,,M.16-F.08,,,
