ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
305.0,,   ,   ,   ,   , Plain , Trắng 
306.0,,   ,   ,   ,   , Pattern , Trắng 
307.0,,   ,   ,   ,   , Plain , Hồng 
308.0,,   ,   ,   ,   , Pattern , Trắng 
309.0,,   ,   ,   ,   , Plain , Trắng 
310.0,,   ,   ,   ,   , Plain , Trắng 
311.0,,   ,   ,   ,   , Plain , Trắng 
312.0,,   ,   ,   ,   , Pattern , Trắng 
313.0,,   ,   ,   ,   , F.Pattern-M.Plain , Trắng 
314.0,,   ,   ,   ,   , Plain , Trắng 
315.0,,   ,   ,   ,   , Plain , Trắng 
316.0,,   ,   ,   ,   , Plain , Trắng 
317.0,,   ,   ,   ,   , F.Pattern-M.Plain , Hồng 
318.0,,   ,   ,   ,   , Plain , Hồng 
319.0,,   ,   ,   ,   , Pattern , Trắng 
320.0,,   ,   ,   ,   , Pattern , Hồng 
321.0,,   ,   ,   ,   , Pattern , Phối màu 
322.0,,   ,   ,   ,   , Plain , Trắng 
323.0,,   ,   ,   ,   , Pattern , Trắng 
324.0,,   ,   ,   ,   , Plain , Trắng 
325.0,,   ,   ,   ,   , F.Plain-M.Pattern , Trắng 
326.0,,   ,   ,   ,   , Pattern , Trắng 
327.0,,   ,   ,   ,   , Pattern , Hồng 
328.0,,   ,   ,   ,   , Pattern , Trắng-Hồng 
329.0,,   ,   ,   ,   , Pattern , Phối màu 
330.0,,   ,   ,   ,   , Pattern , Phối màu 
331.0,,   ,   ,   ,   , Pattern , Trắng-Hồng 
332.0,,   ,   ,   ,   , F.Pattern-M.Plain , Trắng-Vàng 
333.0,,   ,   ,   ,   , Pattern , Hồng 
334.0,,   ,   ,   ,   , Pattern , Hồng 
335.0,,   ,   ,   ,   , Pattern , Hồng 
336.0,,   ,   ,   ,   , Pattern , Hồng 
337.0,,   ,   ,   ,   , Pattern , Hồng 
338.0,,   ,   ,   ,   , Plain , Phối màu 
339.0,,   ,   ,   ,   , Pattern , Phối màu 
340.0,,   ,   ,   ,   , Pattern , Hồng 
341.0,,   ,   ,   ,   , Plain , Hồng 
342.0,,   ,   ,   ,   , Pattern , Hồng 
343.0,,   ,   ,   ,   , F.Pattern-M.Plain , Trắng 
344.0,,   ,   ,   ,   , Plain , Trắng 
345.0,,   ,   ,   ,   , Plain , Phối màu 
346.0,,   ,   ,   ,   , Pattern , Hồng 
347.0,,   ,   ,   ,   , F.Pattern-M.Plain , Trắng 
348.0,,   ,   ,   ,   , Plain , Trắng 
349.0,,   ,   ,   ,   , Pattern , Trắng-Hồng 
350.0,,   ,   ,   ,   , Pattern , Hồng 
351.0,,   ,   ,   ,   , Plain , Trắng 
352.0,,   ,   ,   ,   , Pattern , Hồng 
353.0,,   ,   ,   ,   , Pattern , Trắng 
354.0,,   ,   ,   ,   , Pattern , Vàng 
355.0,,   ,   ,   ,   , Plain , Trắng 
356.0,,   ,   ,   ,   , Pattern , Vàng 
357.0,,   ,   ,   ,   , Pattern , Trắng 
358.0,,   ,   ,   ,   , Plain , Trắng 
359.0,,   ,   ,   ,   , Plain , Trắng 
