ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height,status
231,BMD1104,,Mặt dây chuyền,,,,,,Active
232,BMD1105,,Mặt dây chuyền,,,,,,Active
233,BMD1106,,Mặt dây chuyền,,,,,,Active
234,BMD1107,,Mặt dây chuyền,,,,,,Active
235,BMD1108,,Mặt dây chuyền,,,,,,Active
236,BMD1109,,Mặt dây chuyền,,,,,,Active
237,BMD1110,,Mặt dây chuyền,,,,,,Active
238,BMD1111,,Mặt dây chuyền,,,,,,Active
239,BMD1112,,Mặt dây chuyền,,,,,,Active
240,BMD1113,,Mặt dây chuyền,,,,,,Active
241,MDA2102,,Mặt dây chuyền,,,,,,Active
242,MDA2103,,Mặt dây chuyền,,,,,,Active
243,MDA2104,,Mặt dây chuyền,,,,,,Active
244,MDA2105,,Mặt dây chuyền,,,,,,Active
245,MDA2106,,Mặt dây chuyền,,,,,,Active
246,MDA2107,,Mặt dây chuyền,,,,,,Active
247,MDA2108,,Mặt dây chuyền,,,,,,Active
248,MDA2109,,Mặt dây chuyền,,,,,,Active
249,MDA2110,,Mặt dây chuyền,,,,,,Active
250,MDA2111,Hoa Bốn Cánh,Mặt dây chuyền,,,,,,Active
251,MDA2112,Blossom Flower,Mặt dây chuyền,,,,,,Active
252,MDA2114,,Mặt dây chuyền,,,,,,Active
253,MDA2117,Tiny Heart,Mặt dây chuyền,,,,,,Active
254,MDA2118,,Mặt dây chuyền,,,,,,Active
255,MDA2120,Vintage Retangle,Mặt dây chuyền,,,,,,Active
256,MDA2121,Vintage Star,Mặt dây chuyền,,,,,,Active
257,MDA2122,Double Halo Cushion Shape,Mặt dây chuyền,,,,,,Active
258,MDA2123,Mixing Double Halo,Mặt dây chuyền,,,,,,Active
259,MDA2124,,Mặt dây chuyền,,,,,,Active
260,MDA2125,,Mặt dây chuyền,,,,,,Active
261,MDA2126,Tournesol Bleu,Mặt dây chuyền,,,,,,Active
262,MDA2127,White Camellia Pendant,Mặt dây chuyền,,,,,,Active
263,MDA2131,,Mặt dây chuyền,,,,,,Active
264,MDA2132,,Mặt dây chuyền,,,,,,Active
265,MDA2133,,Mặt dây chuyền,,,,,,Active
266,MDA2134,,Mặt dây chuyền,,,,,,Active
267,MDA2135,,Mặt dây chuyền,,,,,,Active
268,MDA2136,,Mặt dây chuyền,,,,,,Active
269,MDA2137,,Mặt dây chuyền,,,,,,Active
270,MDA3102,,Mặt dây chuyền,,,,,,Active
271,MDA3103,,Mặt dây chuyền,,,,,,Active
272,BMD3105,,Mặt dây chuyền,,,,,,Active
273,MDA4101,,Mặt dây chuyền,,,,,,Active
274,MDA4102,,Mặt dây chuyền,,,,,,Active
275,BMD4103,,Mặt dây chuyền,,,,,,Active
276,BMD4104,,Mặt dây chuyền,,,,,,Active
277,MDA5101,,Mặt dây chuyền,,,,,,Active
278,BMD8110,,Mặt dây chuyền,,,,,,Active
279,MDA8111,,Mặt dây chuyền,,,,,,Active
280,MDA8115,Bowtie And Pear Cut,Mặt dây chuyền,,,,,,Active
281,MDA8116,Fancy Shape,Mặt dây chuyền,,,,,,Active
282,MDA8117,The Flower,Mặt dây chuyền,,,,,,Active
283,MDA8118,Autumn Leaves,Mặt dây chuyền,,,,,,Active
284,MDA8119,Glorious Emerald,Mặt dây chuyền,,,,,,Active
285,MDA8120,Emerald Shape And Half Masquise Halo,Mặt dây chuyền,,,,,,Active
286,MDA8121,Custom Cushion,Mặt dây chuyền,,,,,,Active
287,MDA8122,Lotus Of Clear Moon,Mặt dây chuyền,,,,,,Active
288,MDA8123,Stunning Flaze,Mặt dây chuyền,,,,,,Active
289,MDA8124,White Camellia Necklace,Mặt dây chuyền,,,,,,Active
290,MDA8125,,Mặt dây chuyền,,,,,,Active
291,MDA8126,,Mặt dây chuyền,,,,,,Active
292,BMD8127,,Mặt dây chuyền,,,,,,Active
293,MDA8128,,Mặt dây chuyền,,,,,,Active
294,MDA8129,,Mặt dây chuyền,,,,,,Active
295,MDA8130,,Mặt dây chuyền,,,,,,Active
296,BMD8136,,Mặt dây chuyền,,,,,,Active
297,MDA8137,Love Of Swan,Mặt dây chuyền,,,,,,Active
298,MDA8144,Sweet Heart Necklace,Mặt dây chuyền,,,,,,Active
299,MDA8145,,Mặt dây chuyền,,,,,,Active
300,BMD8147,Rosie Heart,Mặt dây chuyền,,,,,,Active
301,BMD8148,Heart Of Venus,Mặt dây chuyền,,,,,,Active
302,BMD8149,Tender Heart,Mặt dây chuyền,,,,,,Active
303,MDA8150,Dazzling Heart,Mặt dây chuyền,,,,,,Active
304,BMD8151,Adorable Heart,Mặt dây chuyền,,,,,,Active
305,NCC0001,,Nhẫn cưới,,M.18-F.8.5,,,,Active
306,NCC0002,,Nhẫn cưới,,M.15-F.08,,,,Active
307,NCC0005,,Nhẫn cưới,,M.16-F.11,,,,Active
308,NCC0006,,Nhẫn cưới,,M.15-F.09,,,,Active
309,NCC0007,,Nhẫn cưới,,M.15-F.15,,,,Active
310,NCC0010,,Nhẫn cưới,,M.15-F.09,,,,Active
311,NCC0011,,Nhẫn cưới,,M.19-F.10.5,,,,Active
312,NCC0012,,Nhẫn cưới,,M.10-F.05,,,,Active
313,NCC0013,,Nhẫn cưới,,"M.16,5-F.11",,,,Active
314,NCC0016,,Nhẫn cưới,,M.15-F.10,,,,Active
315,NCC0017,,Nhẫn cưới,,M.18-F.11,,,,Active
316,NCC0018,,Nhẫn cưới,,M.16-F.11,,,,Active
317,NCC0022,,Nhẫn cưới,,M.16-F.11,,,,Active
318,NCC0024,,Nhẫn cưới,,M.17-F.11,,,,Active
319,NCC0027,,Nhẫn cưới,,M.13-F.10,,,,Active
