ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
Pattern,Shape2,Size2,SL2,Shape3,Size3,,
678,Round,5.4,2.48,2.07,3.27,,
679,Round,5.4,2.59,2.17,3.42,,
680,Round,5.4,2.76,2.3,3.64,,
681,Round,5.4,3.33,3.26,,,
682,Round,5.4,3.11,2.86,4.11,,
683,Round,6.3,3.45,3.17,4.56,,
684,Round,5.4,2.35,1.97,3.1,,
685,Round,5.4,3.37,3.14,,,
686,Round,5.4,4.22,3.94,,,
687,Round,6.3,5.8,5.32,,,
688,Round,5.4,3.05,2.8,,,
689,Round,6.3,6.34,5.91,,,
690,Round,5.4,2.56,2.14,,,
691,Round,5.4,4.11,3.43,5.43,,
692,Round,5.4,3.54,3.3,,,
693,Round,5.4,2.87,2.4,3.79,,
694,Round,5.4,2.28,1.9,3.01,,
695,Round,5.4,2.11,1.76,2.79,,
696,Round,5.4,2.65,2.21,3.5,,
697,Round,5.4,3.1,2.84,,,
698,Round,5.4,4.15,3.87,,,
699,Round,4.5,2.93,2.69,3.87,,
700,Round,5.4,3.85,3.54,,,
701,Round,5.4,3.48,2.91,4.59,,
702,Round,5.4,3.32,3.05,4.38,,
703,Round,5,2.44,2.04,3.22,,
704,Round,5.4,3.06,2.55,,,
705,Round,5.4,3.02,2.52,3.99,,
706,Round,5.4,4.19,3.91,,,
707,Round,5.4,2.87,2.4,3.79,,
708,Round,6.3,2.65,2.43,,,
709,Round,5.4,2.68,2.24,3.54,,
710,Round,6.3,3.36,3.13,,,
711,Round,5.4,2.47,2.28,,,
712,Round,4.5,2.51,2.31,,,
713,Round,5.4,2.37,1.98,3.13,,
714,Round,5.4,2.35,2.19,3.15,,
715,Round,4.5,2,1.96,2.82,,
716,Round,5.4,2.18,1.83,2.88,,
717,Round,5.4,2.63,2.2,3.47,,
718,Round,5,2.37,2.17,3.12,,
719,Round,5.4,3.85,3.54,5.09,,
720,Round,5.4,3.01,2.76,,,
721,Round,5.4,1.82,1.52,-,,
722,Round,5.4,2.09,1.75,2.76,,
723,Round,5.4,2.2,1.84,-,,
724,Round,5.4,1.88,1.57,-,,
725,Round,5.4,2.41,2.01,3.18,,
726,Round,5.4,2.14,1.79,2.82,,
727,Round,5.4,2.96,2.72,3.96,,
728,Round,4.5,2.18,1.83,2.88,,
729,Round,4.5,3.05,2.8,,,
730,Round,4.5,2.3,1.92,3.04,,
731,Round,5.4,3.59,3.3,,,
732,Round,5.4,3.09,2.83,,,
733,Round,5,2.58,2.16,3.41,,
734,Round,5.4,2.92,2.44,3.85,,
735,Round,6.3,3.55,3.31,4.76,,
736,Round,5.4,3.61,3.37,,,
737,Round,4.5,2.58,2.16,3.41,,
738,Round,5.4,3.12,2.61,4.12,,
739,Round,5.4,2.47,2.07,3.26,,
740,Round,5.4,2.59,2.16,3.42,,
741,Round,5.4,3.02,2.81,,,
742,Round,4.5,2.51,2.31,,,
743,Round,5.4,2.91,2.86,,,
744,Round,5.4,3.1,2.85,,,
745,Round,5.4,2.77,2.31,3.66,,
746,Round,5.4,2.31,1.93,3.05,,
747,Round,5.4,2.87,2.4,3.79,,
748,Round,5.4,2.39,2,3.15,,
749,Round,5.4,2.37,1.98,3.13,,
750,Round,5,2.86,2.3,3.77,,
751,Round,5.4,4.07,3.8,,,
752,Round,5,2.42,2.22,,,
753,Round,6.4,3.13,2.61,4.13,,
754,Round,5.4,3.78,3.47,4.99,,
755,Round,5.4,2.55,2.13,3.37,,
756,Round,5.4,3.38,3.15,,,
757,Round,4.5,3.4,3.17,,,
758,Round,4.5,2.31,1.93,3.05,,
759,Round,5.4,2.76,2.31,3.64,,
760,Round,5.4,2.9,2.42,3.83,,
761,Round,5.4,3.59,3.35,,,
762,Round,5.4,3.16,2.64,4.17,,
763,Round,5.4,3.02,2.82,,,
764,Round,5,4.26,3.91,5.63,,
765,Round,5.4,2.98,2.49,3.93,,
766,Round,5.4,2.76,2.31,3.64,,
767,Round,5.4,2,1.67,2.64,,
768,Round,5.4,2.8,2.57,,,
769,Round,5.4,2.33,1.95,3.08,,
770,Round,5.4,2.19,1.83,2.89,,
771,Round,5.4,3.65,3.05,4.82,,
772,Round,5.4,2.57,2.15,3.39,,
773,Round,5.4,2.63,2.45,3.47,,
774,Round,4.5,2.48,2.32,,,
775,Round,4,1.74,1.6,2.3,,
776,Round,4,2.68,2.46,3.54,,
777,Round,4,1.73,1.58,2.28,,
778,Round,4,2.33,2.14,3.07,,
779,Round,4,2.41,2.21,3.18,,
780,Round,4,2.11,1.94,2.79,,
781,Round,4,1.82,1.67,2.53,,
782,Heart,4,1.76,1.64,2.36,,
783,Round,4,1.66,1.52,2.19,,
784,Round,4,1.79,1.64,2.36,,
785,Round,4,1.65,1.51,2.17,,
786,Round,4,1.99,1.83,2.64,,
787,Princess,5,2.48,2.32,,,
788,Princess,5.4,2.15,1.8,2.84,,
